title;link;summary;published
7 things to know before the bell;http://rss.cnn.com/~r/rss/money_topstories/~3/ojHifu3N_y4/index.html;"Read full story for latest details.<img alt="""" height=""1"" src=""http://feeds.feedburner.com/~r/rss/money_topstories/~4/ojHifu3N_y4"" width=""1"" />";Thu, 04 Oct 2018 05:10:29 EDT
SoftBank and Toyota want driverless cars to change the world;http://rss.cnn.com/~r/rss/money_topstories/~3/lTv_AphBRo4/index.html;"Softbank and Toyota are partnering on an effort to use autonomous vehicles and other technologies to change the world of transportation.<img alt="""" height=""1"" src=""http://feeds.feedburner.com/~r/rss/money_topstories/~4/lTv_AphBRo4"" width=""1"" />";Thu, 04 Oct 2018 05:27:31 EDT
Aston Martin falls 5% in its London IPO;http://rss.cnn.com/~r/rss/money_topstories/~3/UWgkvIfP_XI/index.html;"Aston Martin is joining the ranks of listed automakers with an IPO that values the British company at more than $5 billion.<img alt="""" height=""1"" src=""http://feeds.feedburner.com/~r/rss/money_topstories/~4/UWgkvIfP_XI"" width=""1"" />";Wed, 03 Oct 2018 23:54:24 EDT
Barnes & Noble stock soars 20% as it explores a sale;http://rss.cnn.com/~r/rss/money_topstories/~3/M4Jz1s5kLs8/index.html;"Barnes & Noble jumped more than 20% after it said it would review a sale of the troubled company.<img alt="""" height=""1"" src=""http://feeds.feedburner.com/~r/rss/money_topstories/~4/M4Jz1s5kLs8"" width=""1"" />";Wed, 03 Oct 2018 19:59:15 EDT
Why it's time for investors to go on the defense;http://rss.cnn.com/~r/rss/money_topstories/~3/MNBt3kv0JUY/index.html;"Howard Marks, co-chairman of Oaktree Capital, explains why investors should start treading lightly.<img alt="""" height=""1"" src=""http://feeds.feedburner.com/~r/rss/money_topstories/~4/MNBt3kv0JUY"" width=""1"" />";Wed, 03 Oct 2018 23:28:41 EDT
The Toys 'R' Us brand may be brought back to life;http://rss.cnn.com/~r/rss/money_topstories/~3/hmN7_lOkZnU/index.html;"Bankrupt toy retailer tells bankruptcy court it is looking at possibly reviving the Toys 'R' Us and Babies 'R' Us brands.<img alt="""" height=""1"" src=""http://feeds.feedburner.com/~r/rss/money_topstories/~4/hmN7_lOkZnU"" width=""1"" />";Wed, 03 Oct 2018 23:54:17 EDT
The internet industry is suing California over its net neutrality law;http://rss.cnn.com/~r/rss/money_topstories/~3/SjtVyLlXRHA/index.html;"Broadband trade groups and the DOJ have filed lawsuits over California's days-old law protecting net neutrality.<img alt="""" height=""1"" src=""http://feeds.feedburner.com/~r/rss/money_topstories/~4/SjtVyLlXRHA"" width=""1"" />";Wed, 03 Oct 2018 17:46:47 EDT
Priyanka Chopra is helping Bumble expand in India;http://rss.cnn.com/~r/rss/money_topstories/~3/IcjguPe3G-Y/index.html;"It's the latest online dating app to compete for the hearts of women in India.<img alt="""" height=""1"" src=""http://feeds.feedburner.com/~r/rss/money_topstories/~4/IcjguPe3G-Y"" width=""1"" />";Wed, 03 Oct 2018 13:40:37 EDT
Microsoft unveils new Surface devices;http://rss.cnn.com/~r/rss/money_topstories/~3/mERKBBm5KmQ/index.html;"Microsoft announced a new version of its desktop computer Surface Studio, and its first pair of smart headphones. It also announced the Surface Pro 6 and Surface Laptop 2.<img alt="""" height=""1"" src=""http://feeds.feedburner.com/~r/rss/money_topstories/~4/mERKBBm5KmQ"" width=""1"" />";Tue, 02 Oct 2018 23:46:21 EDT
Getting health insurance through work now costs nearly $20,000;http://rss.cnn.com/~r/rss/money_topstories/~3/3N8m4XT0qrk/index.html;"Family health insurance now costs employers and workers nearly $20,000 a year, on average, according to a new report.<img alt="""" height=""1"" src=""http://feeds.feedburner.com/~r/rss/money_topstories/~4/3N8m4XT0qrk"" width=""1"" />";Wed, 03 Oct 2018 10:02:47 EDT
All eyes on Congress as vote on Kavanaugh draws near;http://rss.cnn.com/~r/rss/money_topstories/~3/fS9JwLh44nk/index.html;"The lead story for Thursday's morning shows: The impending vote to advance Brett Kavanaugh's nomination to the Supreme Court.<img alt="""" height=""1"" src=""http://feeds.feedburner.com/~r/rss/money_topstories/~4/fS9JwLh44nk"" width=""1"" />";Thu, 04 Oct 2018 00:47:47 EDT
She was the first openly gay CEO at a Fortune 500 company;http://rss.cnn.com/~r/rss/money_topstories/~3/PAmyNhTyuog/index.html;"Land O'Lakes CEO Beth Ford charts her career path, from her first job to becoming the first openly gay CEO at a Fortune 500 company in an interview with CNN's Boss Files.<img alt="""" height=""1"" src=""http://feeds.feedburner.com/~r/rss/money_topstories/~4/PAmyNhTyuog"" width=""1"" />";Tue, 02 Oct 2018 05:19:22 EDT
Crypto companies are trying to cash in at a really bad time;http://rss.cnn.com/~r/rss/money_topstories/~3/0pKeXrlECGQ/index.html;"The world's top makers of bitcoin mining technology hope to raise money from investors by selling shares in Hong Kong.<img alt="""" height=""1"" src=""http://feeds.feedburner.com/~r/rss/money_topstories/~4/0pKeXrlECGQ"" width=""1"" />";Wed, 03 Oct 2018 23:47:32 EDT
It's getting a lot harder for global brands to win in China;http://rss.cnn.com/~r/rss/money_topstories/~3/QvPU4bw6fH4/index.html;"Changing tastes and the challenge from new Chinese rivals are forcing US and European companies including Apple and Starbucks to adopt new strategies to succeed in the world's second biggest economy.<img alt="""" height=""1"" src=""http://feeds.feedburner.com/~r/rss/money_topstories/~4/QvPU4bw6fH4"" width=""1"" />";Wed, 03 Oct 2018 23:47:32 EDT
Facebook doesn't think hackers accessed third-party sites;http://rss.cnn.com/~r/rss/money_topstories/~3/uYYwo4u05g0/index.html;"Read full story for latest details.<img alt="""" height=""1"" src=""http://feeds.feedburner.com/~r/rss/money_topstories/~4/uYYwo4u05g0"" width=""1"" />";Tue, 02 Oct 2018 23:49:45 EDT
A llama, bagel and frisbee: Apple's new iOS 12.1 emoji;http://rss.cnn.com/~r/rss/money_topstories/~3/tVlkipYCq-c/index.html;"A collection of new emoji is coming to iOS 12.1 for iPhone and iPad users, including food and cute animals.<img alt="""" height=""1"" src=""http://feeds.feedburner.com/~r/rss/money_topstories/~4/tVlkipYCq-c"" width=""1"" />";Tue, 02 Oct 2018 14:17:18 EDT
Tencent Music aims to raise $1 billion by going public;http://rss.cnn.com/~r/rss/money_topstories/~3/-kmpoYc55R0/index.html;"Tencent Music dominates the music streaming market in China through its Spotify-like apps.<img alt="""" height=""1"" src=""http://feeds.feedburner.com/~r/rss/money_topstories/~4/-kmpoYc55R0"" width=""1"" />";Wed, 03 Oct 2018 00:11:33 EDT
Tesla needed some good news. These sales numbers help;http://rss.cnn.com/~r/rss/money_topstories/~3/NfLK0SRobL8/index.html;"Read full story for latest details.<img alt="""" height=""1"" src=""http://feeds.feedburner.com/~r/rss/money_topstories/~4/NfLK0SRobL8"" width=""1"" />";Wed, 03 Oct 2018 04:24:49 EDT
