title;link;summary;published
Arabiemiraatit armahti elinkautistuomion saaneen brittiopiskelijan;https://yle.fi/uutiset/3-10525952?origin=rss;Arabiemiraatit esitti ensin vakoilusyytöstensä tueksi tohtorikoulutettava Matthew Hedgesin tunnustusvideon. Media ei saanut nauhoittaa videota.;Mon, 26 Nov 2018 11:07:06 +0200
Miksi jännitteet Krimin edustalla kiristyivät? Kokosimme Venäjän ja Ukrainan uuden kiistan pääpiirteet;https://yle.fi/uutiset/3-10525778?origin=rss;Jännitteet alueella ovat olleet kireät jo pitkään. Kertšinsalmi on Ukrainan rahtilaivoille tärkeä kulkureitti.;Mon, 26 Nov 2018 09:16:05 +0200
Herätys: Ukrainan ja Venäjän välit kiristyneet, käteisen alamäki jatkuu, viikko alkaa pakkassäässä;https://yle.fi/uutiset/3-10525357?origin=rss;Lue tästä päivän puheenaiheet lyhyesti. Voit säätää Uutisvahdissa Herätys-ilmoituksia asetuksista.;Mon, 26 Nov 2018 06:23:29 +0200
Kymmenen vuotta sitten Intian Mumbai muuttui sotatantereeksi  – Terroristit pitivät suurkaupunkia kauhun vallassa päiviä;https://yle.fi/uutiset/3-10518293?origin=rss;Intialaisten mielissä iskut vertautuvat New Yorkin syyskuun 11. päivän terroritekoihin. Iskujen pääsuunnittelijaksi epäilty pakistanilaismies on edelleen vapaana.;Mon, 26 Nov 2018 05:52:00 +0200
YK:n turvallisuusneuvosto kokoontuu hätäistuntoon maanantaina Ukrainan ja Venäjän konfliktin vuoksi;https://yle.fi/uutiset/3-10525588?origin=rss;Diplomaattilähteiden mukaan molemmat osapuolet ovat pyytäneet turvallisuusneuvostoa kokoontumaan.;Mon, 26 Nov 2018 04:57:50 +0200
Meksiko karkottaa satoja luvatta rajan yli pyrkineitä siirtolaisia – Yhdysvallat käytti kyynelkaasua siirtolaisia vastaan;https://yle.fi/uutiset/3-10525557?origin=rss;Ajoneuvoliikenne ja jalankulkijoiden rajanylitys keskeytettiin useiksi tunneiksi siirtolaisten rynnäkön jälkeen.;Mon, 26 Nov 2018 01:48:16 +0200
Tilanne jännittynyt Mustallamerellä – Venäjä valtasi Ukrainan laivaston aluksia, Ukraina harkitsee poikkeustilan julistamista;https://yle.fi/uutiset/3-10525483?origin=rss;Venäjä käytti tulivoimaa alusten valtauksessa. Ukrainan armeijan mukaan useita miehistön jäseniä on haavoittunut.;Sun, 25 Nov 2018 20:57:14 +0200
Koiradiplomatiaa Koreoiden välillä – lahjakoira synnytti kuusi pentua;https://yle.fi/uutiset/3-10525330?origin=rss;Koirat ovat pohjoiskorealaista pungsang-rotua.;Sun, 25 Nov 2018 16:57:09 +0200
"Syyrian hallitus: Aleppossa käytetty ""myrkyllistä kaasua"" – Venäjä vastasi ilmaiskuilla";https://yle.fi/uutiset/3-10525162?origin=rss;Syyrian valtion television mukaan Aleppossa noin sata ihmistä on joutunut hakeutumaan sairaalaan hengitysvaikeuksien vuoksi.;Sun, 25 Nov 2018 13:34:17 +0200
Ranskan poikkeuksellisen laajat veroprotestit muuttuivat nujakoinniksi;https://yle.fi/uutiset/3-10525035?origin=rss;"Ranskan presidentti Emmanuel Macron on moittinut verokapinaliikkeen protesteja ""häpeällisiksi"".";Sun, 25 Nov 2018 08:58:50 +0200
Kuka on Nancy Pelosi? Yhdysvaltojen todellinen ensimmäinen nainen on taas vahvoilla maan kolmanneksi tärkeimpään poliittiseen pestiin;https://yle.fi/uutiset/3-10515212?origin=rss;Demokraatteja johtava Nancy Pelosi on teräväpäinen laskija, taitava rahankerääjä ja republikaanien kauhu. Tammikuussa hän todennäköisesti nousee pitämään valtaa edustajainhuoneessa.;Sun, 25 Nov 2018 07:14:00 +0200
Ugandan lauttaonnettomuuden uhreja jo lähes 30;https://yle.fi/uutiset/3-10525006?origin=rss;Viktorianjärven lauttaturman uhriluku nousee.;Sun, 25 Nov 2018 03:27:16 +0200
Gibraltarin asemasta sovittiin viime metreillä – huomenna EU-johtajat hyväksyvät Britannian erosopimuksen;https://yle.fi/uutiset/3-10524887?origin=rss;Huomenna voidaan edetä suunnitelmien mukaan ja Britannian erosopimus hyväksytään;Sat, 24 Nov 2018 21:35:30 +0200
Taiwanissa presidentti erosi puolueen johdosta vaalitappion jälkeen;https://yle.fi/uutiset/3-10524603?origin=rss;Kansanäänestyksessä kysyttiin myös samaa sukupuolta olevien avioliiton laillistamisesta, alustavien tulosten mukaan sukupuolineutraali avioliitto ei mennyt läpi äänestyksessä.;Sat, 24 Nov 2018 16:15:57 +0200
Pariisissa rajuja mielenosoituksia – protestoijat vastustivat polttoaineiden hinnan nousua;https://yle.fi/uutiset/3-10524479?origin=rss;Poliisi on ampunut kyynelkaasua ja käyttänyt vesitykkejä mielenosoittajiin.;Sat, 24 Nov 2018 12:56:52 +0200
